[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe Print' (segoepr.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Candara' (Candara.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (segoeuil.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI Symbol' (seguisym.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DengXian' (Deng.ttf) normal normal regular normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'FangSong' (simfang.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Times New Roman' (timesbi.ttf) italic normal roman normal>) = 11.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Calibri' (calibri.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbel.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Trebuchet MS' (trebucbd.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (seguisli.ttf) italic normal light normal>) = 11.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'DengXian' (Dengb.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Candara' (Candarali.ttf) italic normal light normal>) = 11.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Arial' (arialbi.ttf) italic normal bold normal>) = 7.698636363636363
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbeli.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (segoeuib.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Leelawadee UI' (LeelUIsl.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (seguibl.ttf) normal normal black normal>) = 10.525
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Yu Gothic' (YuGothL.ttc) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Sitka Small' (SitkaZ.ttc) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (segoeuiz.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Palatino Linotype' (palab.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'MS Gothic' (msgothic.ttc) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Courier New' (courbi.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Verdana' (verdana.ttf) normal normal 400 normal>) = 3.6863636363636365
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Times New Roman' (timesi.ttf) italic normal roman normal>) = 11.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Yu Gothic' (YuGothM.ttc) normal normal medium normal>) = 10.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft New Tai Lue' (ntailu.ttf) normal normal 400 normal>) = 10.05
